CATEGORY,FILE NAME
commercial,I/I56 Food and beverage service activities/U276.csv
commercial,I/I56 Food and beverage service activities/U277.csv
commercial,I/I56 Food and beverage service activities/U279.csv
commercial,I/I56 Food and beverage service activities/U278.csv
commercial,I/I55 Accommodation/U275.csv
commercial,I/I55 Accommodation/U274.csv
commercial,"N/N82 Office administrative, office support and other business support activities/U357.csv"
commercial,"N/N82 Office administrative, office support and other business support activities/U356.csv"
commercial,"N/N82 Office administrative, office support and other business support activities/U355.csv"
commercial,N/N80 Security and investigation activities/U354.csv
commercial,G/G45 Wholesale and retail trade and repair of motor vehicles and motorcycles/U267.csv
commercial,G/G45 Wholesale and retail trade and repair of motor vehicles and motorcycles/U266.csv
commercial,G/G45 Wholesale and retail trade and repair of motor vehicles and motorcycles/U264.csv
commercial,G/G45 Wholesale and retail trade and repair of motor vehicles and motorcycles/U270.csv
commercial,G/G45 Wholesale and retail trade and repair of motor vehicles and motorcycles/U265.csv
commercial,G/G45 Wholesale and retail trade and repair of motor vehicles and motorcycles/U268.csv
commercial,G/G45 Wholesale and retail trade and repair of motor vehicles and motorcycles/U269.csv
commercial,S/S96 Other personal service activities/U386.csv
commercial,S/S96 Other personal service activities/U385.csv
industrial,"A/A01 Crop and animal production, hunting and related service activities/U4.csv"
industrial,"A/A01 Crop and animal production, hunting and related service activities/U1.csv"
industrial,"A/A01 Crop and animal production, hunting and related service activities/U2.csv"
industrial,"A/A01 Crop and animal production, hunting and related service activities/U3.csv"
industrial,A/A02 Forestry and logging/U8.csv
industrial,A/A02 Forestry and logging/U9.csv
industrial,A/A02 Forestry and logging/U10.csv
industrial,A/A02 Forestry and logging/U7.csv
industrial,A/A02 Forestry and logging/U6.csv
industrial,A/A02 Forestry and logging/U5.csv
industrial,F/F43 Specialized construction activities/U263.csv
industrial,F/F42 Civil engineering/U261.csv
industrial,F/F42 Civil engineering/U262.csv
industrial,F/F41 Construction of buildings/U260.csv
commercial,O/O84 Public administration and defence; compulsory social security/U362.csv
commercial,O/O84 Public administration and defence; compulsory social security/U363.csv
commercial,O/O84 Public administration and defence; compulsory social security/U361.csv
commercial,O/O84 Public administration and defence; compulsory social security/U374.csv
commercial,O/O84 Public administration and defence; compulsory social security/U360.csv
commercial,O/O84 Public administration and defence; compulsory social security/U364.csv
commercial,O/O84 Public administration and defence; compulsory social security/U370.csv
commercial,O/O84 Public administration and defence; compulsory social security/U358.csv
commercial,O/O84 Public administration and defence; compulsory social security/U359.csv
commercial,O/O84 Public administration and defence; compulsory social security/U371.csv
commercial,O/O84 Public administration and defence; compulsory social security/U365.csv
commercial,O/O84 Public administration and defence; compulsory social security/U373.csv
commercial,O/O84 Public administration and defence; compulsory social security/U367.csv
commercial,O/O84 Public administration and defence; compulsory social security/U366.csv
commercial,O/O84 Public administration and defence; compulsory social security/U372.csv
commercial,O/O84 Public administration and defence; compulsory social security/U368.csv
commercial,O/O84 Public administration and defence; compulsory social security/U369.csv
commercial,H/H53 Postal and courier activities/U273.csv
commercial,H/H53 Postal and courier activities/U272.csv
commercial,H/H52 Warehousing and support activities for transportation/U271.csv
commercial,M/M71 Architectural and engineering activities; technical testing and analysis/U353.csv
commercial,"J/J62 Computer programming, consultancy and related activities/U280.csv"
industrial,C/C27 Manufacture of electrical equipment/U213.csv
industrial,C/C33 Repair and installation of machinery and equipment/U255.csv
industrial,C/C13 Manufacture of textiles/U41.csv
industrial,C/C13 Manufacture of textiles/U40.csv
industrial,C/C13 Manufacture of textiles/U42.csv
industrial,C/C13 Manufacture of textiles/U36.csv
industrial,C/C13 Manufacture of textiles/U22.csv
industrial,C/C13 Manufacture of textiles/U23.csv
industrial,C/C13 Manufacture of textiles/U37.csv
industrial,C/C13 Manufacture of textiles/U21.csv
industrial,C/C13 Manufacture of textiles/U35.csv
industrial,C/C13 Manufacture of textiles/U34.csv
industrial,C/C13 Manufacture of textiles/U24.csv
industrial,C/C13 Manufacture of textiles/U30.csv
industrial,C/C13 Manufacture of textiles/U31.csv
industrial,C/C13 Manufacture of textiles/U25.csv
industrial,C/C13 Manufacture of textiles/U33.csv
industrial,C/C13 Manufacture of textiles/U27.csv
industrial,C/C13 Manufacture of textiles/U26.csv
industrial,C/C13 Manufacture of textiles/U32.csv
industrial,C/C13 Manufacture of textiles/U28.csv
industrial,C/C13 Manufacture of textiles/U29.csv
industrial,C/C13 Manufacture of textiles/U39.csv
industrial,C/C13 Manufacture of textiles/U38.csv
industrial,C/C17 Manufacture of paper and paper products/U55.csv
industrial,C/C17 Manufacture of paper and paper products/U54.csv
industrial,C/C17 Manufacture of paper and paper products/U56.csv
industrial,C/C17 Manufacture of paper and paper products/U57.csv
industrial,C/C17 Manufacture of paper and paper products/U60.csv
industrial,C/C17 Manufacture of paper and paper products/U61.csv
industrial,C/C17 Manufacture of paper and paper products/U59.csv
industrial,C/C17 Manufacture of paper and paper products/U58.csv
industrial,"C/C21 Manufacture of pharmaceuticals, medicinal chemical and botanical products/U68.csv"
industrial,"C/C29 Manufacture of motor vehicles, trailers and semi-trailers/U229.csv"
industrial,"C/C29 Manufacture of motor vehicles, trailers and semi-trailers/U228.csv"
industrial,"C/C29 Manufacture of motor vehicles, trailers and semi-trailers/U230.csv"
industrial,"C/C29 Manufacture of motor vehicles, trailers and semi-trailers/U226.csv"
industrial,"C/C29 Manufacture of motor vehicles, trailers and semi-trailers/U227.csv"
industrial,C/C14 Manufacture of wearing apparel/U43.csv
industrial,C/C14 Manufacture of wearing apparel/U47.csv
industrial,C/C14 Manufacture of wearing apparel/U46.csv
industrial,C/C14 Manufacture of wearing apparel/U44.csv
industrial,C/C14 Manufacture of wearing apparel/U45.csv
industrial,C/C14 Manufacture of wearing apparel/U48.csv
industrial,C/C14 Manufacture of wearing apparel/U49.csv
industrial,C/C10 Manufacture of food products/U18.csv
industrial,C/C10 Manufacture of food products/U17.csv
industrial,C/C10 Manufacture of food products/U16.csv
industrial,C/C10 Manufacture of food products/U14.csv
industrial,C/C10 Manufacture of food products/U15.csv
industrial,C/C10 Manufacture of food products/U11.csv
industrial,C/C10 Manufacture of food products/U12.csv
industrial,C/C10 Manufacture of food products/U13.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U117.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U103.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U102.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U116.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U128.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U100.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U114.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U115.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U101.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U129.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U105.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U111.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U110.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U104.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U112.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U106.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U107.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U113.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U122.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U123.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U109.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U121.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U120.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U108.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U124.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U130.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U118.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U119.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U131.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U125.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U133.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U127.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U126.csv
industrial,C/C23 Manufacture of other non-metallic mineral products/U132.csv
industrial,"C/C26 Manufacture of computer, electronic and optical products/U202.csv"
industrial,"C/C26 Manufacture of computer, electronic and optical products/U203.csv"
industrial,"C/C26 Manufacture of computer, electronic and optical products/U210.csv"
industrial,"C/C26 Manufacture of computer, electronic and optical products/U204.csv"
industrial,"C/C26 Manufacture of computer, electronic and optical products/U205.csv"
industrial,"C/C26 Manufacture of computer, electronic and optical products/U211.csv"
industrial,"C/C26 Manufacture of computer, electronic and optical products/U207.csv"
industrial,"C/C26 Manufacture of computer, electronic and optical products/U212.csv"
industrial,"C/C26 Manufacture of computer, electronic and optical products/U206.csv"
industrial,"C/C26 Manufacture of computer, electronic and optical products/U208.csv"
industrial,"C/C26 Manufacture of computer, electronic and optical products/U209.csv"
industrial,C/C28 Manufacture of machinery and equipment n.e.c/U216.csv
industrial,C/C28 Manufacture of machinery and equipment n.e.c/U217.csv
industrial,C/C28 Manufacture of machinery and equipment n.e.c/U215.csv
industrial,C/C28 Manufacture of machinery and equipment n.e.c/U214.csv
industrial,C/C28 Manufacture of machinery and equipment n.e.c/U223.csv
industrial,C/C28 Manufacture of machinery and equipment n.e.c/U222.csv
industrial,C/C28 Manufacture of machinery and equipment n.e.c/U220.csv
industrial,C/C28 Manufacture of machinery and equipment n.e.c/U221.csv
industrial,C/C28 Manufacture of machinery and equipment n.e.c/U225.csv
industrial,C/C28 Manufacture of machinery and equipment n.e.c/U219.csv
industrial,C/C28 Manufacture of machinery and equipment n.e.c/U218.csv
industrial,C/C28 Manufacture of machinery and equipment n.e.c/U224.csv
industrial,C/C31 Manufacture of furniture/U238.csv
industrial,C/C31 Manufacture of furniture/U239.csv
industrial,C/C31 Manufacture of furniture/U248.csv
industrial,C/C31 Manufacture of furniture/U240.csv
industrial,C/C31 Manufacture of furniture/U241.csv
industrial,C/C31 Manufacture of furniture/U243.csv
industrial,C/C31 Manufacture of furniture/U242.csv
industrial,C/C31 Manufacture of furniture/U246.csv
industrial,C/C31 Manufacture of furniture/U247.csv
industrial,C/C31 Manufacture of furniture/U245.csv
industrial,C/C31 Manufacture of furniture/U244.csv
industrial,C/C31 Manufacture of furniture/U237.csv
industrial,C/C31 Manufacture of furniture/U236.csv
industrial,C/C31 Manufacture of furniture/U234.csv
industrial,C/C31 Manufacture of furniture/U235.csv
industrial,C/C31 Manufacture of furniture/U231.csv
industrial,C/C31 Manufacture of furniture/U232.csv
industrial,C/C31 Manufacture of furniture/U233.csv
industrial,C/C11 Manufacture of beverages/U20.csv
industrial,C/C11 Manufacture of beverages/U19.csv
